7891129500006;	PEDESTAL PARA MÁQUINA LAVA&SECA BRASTEMP S/ VOLTAGEM
7891129500013;	PEDESTAL PARA MÁQUINA LAVA&SECA BRASTEMP S/ VOLTAGEM
7891129217317;	AC JANELA - 7.500 BTU'S FRIO - MECÂNICO (CLASSE A) CONSUL 127V
7891129217324;	AC JANELA - 7.500 BTU'S FRIO - MECÂNICO (CLASSE A) CONSUL 220V
7891129217416;	AC JANELA - 10.000 BTU'S FRIO - MECÂNICO (CLASSE A) CONSUL 127V
7891129217423;	AC JANELA - 10.000 BTU'S FRIO - MECÂNICO (CLASSE A) CONSUL 220V
7891129234352;	AC JANELA - 7.500 BTU'S FRIO - MECÂNICO (SOMENTE NORTE
7891129234369;	AC JANELA - 7.500 BTU'S FRIO - MECÂNICO (SOMENTE NORTE
7891129161122;	AC JANELA - 21.000 BTU'S FRIO - MECÂNICO CONSUL 220V
7891129234536;	AC JANELA - 12.000 BTU'S FRIO - MECÂNICO CONSUL 127V
7891129161603;	AC JANELA - 18.000 BTU'S FRIO - MECÂNICO CONSUL 220V
7891129161658;	AC JANELA - 12.000 BTU'S QUENTE/FRIO - MECÂNICO CONSUL 220V
7891129161597;	AC JANELA - 18.000 BTU'S QUENTE/FRIO - MECÂNICO CONSUL 220V
7891129217348;	AC JANELA - 7.500 BTU'S FRIO - DIGITAL (CLASSE A) CONSUL 127V
7891129217355;	AC JANELA - 7.500 BTU'S FRIO - DIGITAL (CLASSE A) CONSUL 220V
7891129217379;	AC JANELA - 10.000 BTU'S FRIO - DIGITAL (CLASSE A) CONSUL 127V
7891129217386;	AC JANELA - 10.000 BTU'S FRIO - DIGITAL (CLASSE A) CONSUL 220V
7891129217362;	AC JANELA - 7.500 BTU'S QUENTE/FRIO - DIGITAL (CLASSE A) CONSUL 220V
7891129217409;	AC JANELA - 10.000 BTU'S QUENTE/FRIO - DIGITAL (CLASSE A) CONSUL 220V
7891129161139;	AC JANELA - 21.000 BTU'S QUENTE/FRIO - MECÂNICO CONSUL 220V
7891129217331;	AC JANELA - 7.500 BTU'S QUENTE/FRIO - MECÂNICO (CLASSE A) CONSUL 220V
7891129217393;	AC JANELA - 10.000 BTU'S QUENTE/FRIO - MECÂNICO (CLASSE A) CONSUL 220V
7891129161672;	AC JANELA - 12.000 BTU'S FRIO - ELETRÔNICO CONSUL 220V
7891129234543;	AC JANELA - 12.000 BTU'S FRIO - ELETRÔNICO CONSUL 127V
7891129161641;	AC JANELA - 12.000 BTU'S QUENTE/FRIO - ELETRÔNICO CONSUL 220V
7891129255890;	AC JANELA - 7.500 BTU'S FRIO - MECÂNICO CONSUL 127V
7891129263505;	AC JANELA - 7.500 BTU'S FRIO - MECÂNICO CONSUL 220V
7891129263543;	AC JANELA - 10.000 BTU'S FRIO - MECÂNICO CONSUL 127V
7891129263550;	AC JANELA - 10.000 BTU'S FRIO - MECÂNICO CONSUL 220V
7891129263598;	AC JANELA - 12.000 BTU'S FRIO - MECÂNICO CONSUL 127V
7891129263604;	AC JANELA - 12.000 BTU'S FRIO - MECÂNICO CONSUL 220V
7891129499904;	AC JANELA - 18.000 BTU'S FRIO - MECÂNICO CONSUL 220V
7891129499386;	AC JANELA - 7.500 BTU'S FRIO - INVERTER FRIO CONSUL 127/220V
7891129499393;	AC JANELA - 10.000 BTU'S FRIO - INVERTER FRIO CONSUL 127/220V
7891129263529;	AC JANELA - 7.500 BTU'S FRIO - DIGITAL CONSUL 127V
7891129263536;	AC JANELA - 7.500 BTU'S FRIO - DIGITAL CONSUL 220V
7891129263574;	AC JANELA - 10.000 BTU'S FRIO - DIGITAL CONSUL 127V
7891129263581;	AC JANELA - 10.000 BTU'S FRIO - DIGITAL CONSUL 220V
7891129263512;	AC JANELA - 7.500 BTU'S QUENTE/FRIO - MECÂNICO  CONSUL 220V
7891129263567;	AC JANELA - 10.000 BTU'S QUENTE/FRIO - MECÂNICO CONSUL 220V
7891129232044;	CLIMATIZADOR PORTATIL  BEM ESTAR - QUENTE/FRIO - BRANCO CONSUL 127V
7891129232051;	CLIMATIZADOR PORTATIL  BEM ESTAR - QUENTE/FRIO - BRANCO CONSUL 220V
7891129232808;	CLIMATIZADOR PORTATIL  BEM ESTAR - QUENTE/FRIO - TITÂNIO CONSUL 220V
7891129207431;	COIFA PAREDE 90 CM BRASTEMP GOURMAND  220V
7891129207615;	COIFA ILHA 100 CM BRASTEMP GOURMAND  220V
7891129253469;	COIFA TBOX PAREDE BRASTEMP 90 CM  127V
7891129253476;	COIFA TBOX PAREDE BRASTEMP 90 CM  220V
7891129253483;	COIFA TBOX ILHA BRASTEMP 100 CM  127V
7891129253490;	COIFA TBOX ILHA BRASTEMP 100 CM  220V
7891129219861;	COIFA BRASTEMP  PIRAMIDAL PRETA 60 CM  127V
7891129219878;	COIFA BRASTEMP  PIRAMIDAL PRETA 60 CM  220V
7891129219984;	COIFA BRASTEMP  PIRAMIDAL INOX 60 CM  127V
7891129219854;	COIFA BRASTEMP  PIRAMIDAL INOX 60 CM  220V
7891129224025;	COIFA BRASTEMP PIRAMIDAL INOX 90 CM  127V
7891129224032;	COIFA BRASTEMP PIRAMIDAL INOX 90 CM  220V
7891129253421;	COIFA VIDRO PLANO PAREDE BRASTEMP 90 CM  127V
7891129253438;	COIFA VIDRO PLANO PAREDE BRASTEMP 90 CM  220V
7891129253445;	COIFA VIDRO PLANO ILHA BRASTEMP 100 CM  127V
7891129253452;	COIFA VIDRO PLANO ILHA BRASTEMP 100 CM  220V
7891129230101;	COIFA INOX PAREDE CONSUL 60CM  127V
7891129230118;	COIFA INOX PAREDE CONSUL 60CM  220V
7891129230125;	COIFA INOX PAREDE CONSUL 90CM  127V
7891129230132;	COIFA INOX PAREDE CONSUL 90CM  220V
7891129249844;	COIFA VIDRO PAREDE CONSUL 60CM  127V
7891129250178;	COIFA VIDRO PAREDE CONSUL 60CM  220V
7891129250185;	COIFA VIDRO PAREDE 90CM CONSUL 127V
7891129250192;	COIFA VIDRO PAREDE 90CM CONSUL 220V
7891129238091;	COIFA LUMINÁRIA ILHA  BRASTEMP VITREOUS  BRANCA 220V  75 CM  
7891129238084;	COIFA PAREDE BRASTEMP VITREOUS BRANCA 80 CM 220V 60 HZ  
7891129491601;	COIFA DE PAREDE BRASTEMP GOURM INOX 127V  
7891129491670;	COIFAI NOX ILHA BRASTEMP GOURMAND 100CM  220V
7891129499126;	COOKTOP 2 BOCAS A GÁS DOMINÓ CONSUL COM MESA DE VIDRO  127/220V
7891129481695;	COOKTOP GÁS BRASTEMP 2B INOX 127/220V  
7891129194137;	COOKTOP VIDRO BRASTEMP ATIVE 4B  127/220V
7891129224377;	COOKTOP BRASTEMP MEGACHAMA 4B  127/220V
7891129194205;	COOKTOP VIDRO BRASTEMP ATIVE 5B  127/220V
7891129224391;	COOKTOP BRASTEMP MEGACHAMA 5B  127/220V
7891129110687;	eVITROCERAMICO 1200 E 1700W BRASTEMP 220V
7891129481640;	COOKTOP ELET BRASTEMP 2B MESA VITRO 220V   
7891129481657;	COOKTOP ELET BRASTEMP CHURRASQUEIRA 220V  
7891129481664;	COOKTOP IND BRASTEMP 1B PORTÁTIL   127V
7891129481671;	COOKTOP IND BRASTEMP 1B PORTÁTIL   220V
